Pro Quality,Pro Relevance,Pro Reasoning,Con Quality,Con Relevance,Con Reasoning,Winner
4,4,5,8,10,7,Con
4,4,6,9,4,6,Con
9,8,5,10,8,7,Con
4,8,6,10,8,6,Con
6,9,8,4,4,10,Pro
6,4,6,4,7,10,Con
6,10,5,10,10,5,Con
7,7,6,7,4,5,Pro
9,6,7,8,7,4,Pro
7,6,6,10,8,10,Con
9,6,6,8,4,4,Pro
5,4,4,7,9,6,Con
10,9,10,5,10,5,Pro
8,6,10,5,6,10,Pro
5,7,5,10,6,8,Con
5,5,6,7,9,4,Con
9,5,4,6,8,10,Con
4,4,7,6,8,8,Con
5,5,9,8,10,6,Con
10,10,6,7,6,7,Pro
5,9,9,10,4,10,Con
6,9,8,10,4,4,Pro
9,7,9,4,10,6,Pro
7,4,4,6,4,9,Con
8,6,8,4,6,8,Pro
7,4,6,10,6,10,Con
4,9,6,5,10,7,Con
5,8,10,6,5,9,Pro
5,5,8,5,8,9,Con
4,4,9,4,9,10,Con
7,5,9,5,6,8,Pro
5,5,10,4,6,5,Pro
5,4,8,9,4,7,Con
8,8,9,6,7,8,Pro
9,8,7,6,4,5,Pro
6,10,7,5,5,5,Pro
5,8,10,4,7,8,Pro
8,4,5,10,8,5,Con
10,9,6,7,4,10,Pro
5,4,8,5,10,10,Con
9,5,10,4,6,5,Pro
7,4,7,9,4,8,Con
7,7,10,4,6,7,Pro
10,9,9,6,4,8,Pro
6,5,4,8,6,6,Con
10,9,5,10,10,8,Con
4,4,5,10,6,6,Con
4,5,4,9,9,8,Con
4,10,5,9,8,5,Con
10,10,7,8,6,5,Pro
5,10,10,6,7,4,Pro
4,6,7,8,9,10,Con
5,9,4,10,9,4,Con
10,10,5,9,4,5,Pro
10,10,5,7,7,9,Pro
4,6,9,8,9,6,Con
10,10,9,4,7,5,Pro
4,7,6,10,7,6,Con
4,4,7,8,7,9,Con
9,7,9,7,5,6,Pro
4,9,9,6,7,4,Pro
7,6,10,6,9,5,Pro
8,6,5,8,8,10,Con
